InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,TotalSales,Month
165725,SKU_1412,USB Cable,16,2020-01-02 19:00:00,9.08,46393.0,France,0.04,Bank Transfer,18.69,Apparel,In-store,Not Returned,Royal Mail,Rome,Low,145.28,1
229981,SKU_1588,Desk Lamp,31,2020-01-02 20:00:00,2.1,47167.0,Norway,0.29,Bank Transfer,16.04,Furniture,Online,Not Returned,UPS,Amsterdam,Low,65.10000000000001,1
184654,SKU_1259,Wall Clock,20,2020-01-02 21:00:00,24.36,73680.0,Norway,0.07,Bank Transfer,18.99,Apparel,In-store,Not Returned,FedEx,London,High,487.2,1
691723,SKU_1632,Wireless Mouse,31,2020-01-02 22:00:00,84.83,57796.0,Netherlands,0.12,Bank Transfer,23.25,Stationery,In-store,Not Returned,UPS,Paris,High,2629.73,1
419030,SKU_1907,Wireless Mouse,11,2020-01-02 23:00:00,93.1,18741.0,Australia,0.38,paypall,8.78,Electronics,Online,Not Returned,DHL,Paris,Low,1024.1,1
428947,SKU_1183,T-shirt,32,2020-01-03 00:00:00,81.47,85133.0,Italy,0.0,Bank Transfer,9.14,Electronics,Online,Not Returned,DHL,Paris,High,2607.04,1
655839,SKU_1047,Office Chair,48,2020-01-03 01:00:00,4.74,,Belgium,0.22,Credit Card,23.11,Accessories,Online,Not Returned,UPS,London,High,227.52,1
373538,SKU_1146,Headphones,8,2020-01-03 02:00:00,20.35,75852.0,Belgium,0.1,Credit Card,20.37,Stationery,In-store,Not Returned,UPS,Rome,Low,162.8,1
431236,SKU_1793,Wall Clock,23,2020-01-03 03:00:00,33.63,25739.0,France,0.33,Bank Transfer,6.6,Apparel,Online,Not Returned,DHL,Rome,Medium,773.49,1
628178,SKU_1875,Backpack,8,2020-01-03 04:00:00,68.66,79905.0,Netherlands,0.13,Credit Card,26.31,Stationery,In-store,Not Returned,Royal Mail,London,Low,549.28,1
665894,SKU_1805,Headphones,2,2020-01-03 05:00:00,33.4,59341.0,Sweden,0.16,Bank Transfer,18.88,Apparel,Online,Not Returned,Royal Mail,Berlin,Low,66.8,1
589492,SKU_1591,T-shirt,27,2020-01-03 06:00:00,49.95,28756.0,Italy,0.3,paypall,10.36,Stationery,In-store,Not Returned,DHL,London,Medium,1348.65,1
356840,SKU_1747,Office Chair,36,2020-01-03 07:00:00,5.04,61799.0,United Kingdom,0.15,Bank Transfer,27.63,Apparel,In-store,Returned,FedEx,Paris,Low,181.44,1
573254,SKU_1408,Blue Pen,35,2020-01-03 08:00:00,4.66,32638.0,Australia,0.27,paypall,19.65,Furniture,In-store,Not Returned,UPS,London,Low,163.1,1
449457,SKU_1439,Desk Lamp,23,2020-01-03 09:00:00,73.48,80321.0,Italy,0.37,Bank Transfer,29.57,Stationery,Online,Not Returned,DHL,Amsterdam,High,1690.0400000000002,1
765987,SKU_1457,Blue Pen,41,2020-01-03 10:00:00,11.4,35294.0,Germany,0.08,Bank Transfer,12.87,Accessories,Online,Not Returned,UPS,Berlin,High,467.40000000000003,1
370936,SKU_1228,Backpack,48,2020-01-03 11:00:00,28.29,47376.0,Belgium,0.33,Bank Transfer,16.89,Apparel,Online,Not Returned,DHL,Rome,High,1357.92,1
339931,SKU_1283,Office Chair,13,2020-01-03 12:00:00,1.47,46641.0,Spain,0.32,paypall,8.53,Stationery,Online,Not Returned,UPS,London,Low,19.11,1
339629,SKU_1572,Notebook,31,2020-01-03 13:00:00,55.33,72552.0,Italy,0.05,Credit Card,25.13,Furniture,Online,Not Returned,Royal Mail,Paris,Low,1715.23,1
305041,SKU_1731,Desk Lamp,45,2020-01-03 14:00:00,54.79,,United Kingdom,0.23,Credit Card,8.97,Accessories,In-store,Not Returned,DHL,,Medium,2465.55,1
798361,SKU_1344,Office Chair,30,2020-01-03 15:00:00,45.18,64580.0,Netherlands,0.32,Credit Card,13.75,Furniture,Online,Not Returned,UPS,Amsterdam,Medium,1355.4,1
831912,SKU_1600,Wireless Mouse,6,2020-01-03 16:00:00,78.9,54809.0,Italy,0.1,Bank Transfer,12.89,Accessories,Online,Not Returned,DHL,Berlin,High,473.40000000000003,1
517113,SKU_1946,Notebook,20,2020-01-03 17:00:00,39.0,43390.0,Italy,0.09,paypall,21.67,Electronics,Online,Not Returned,Royal Mail,Berlin,Medium,780.0,1
168148,SKU_1907,Wireless Mouse,26,2020-01-03 18:00:00,25.56,59957.0,United States,0.48,Bank Transfer,10.4,Electronics,In-store,Not Returned,UPS,London,High,664.56,1
877089,SKU_1263,Office Chair,36,2020-01-03 19:00:00,34.13,68005.0,Italy,0.32,Bank Transfer,20.69,Apparel,Online,Not Returned,FedEx,Paris,Medium,1228.68,1
748531,SKU_1739,USB Cable,19,2020-01-03 20:00:00,69.38,96641.0,Norway,0.33,paypall,27.74,Furniture,Online,Not Returned,UPS,Amsterdam,Medium,1318.2199999999998,1
351995,SKU_1377,USB Cable,22,2020-01-03 21:00:00,94.81,33544.0,Germany,0.43,Bank Transfer,25.61,Accessories,In-store,Not Returned,UPS,London,Medium,2085.82,1
778843,SKU_1102,Wall Clock,12,2020-01-03 22:00:00,70.77,94953.0,Germany,0.33,Bank Transfer,17.0,Electronics,In-store,Not Returned,FedEx,Rome,High,849.24,1
672843,SKU_1953,Headphones,3,2020-01-03 23:00:00,99.17,,United States,0.03,paypall,11.58,Stationery,Online,Not Returned,DHL,London,Medium,297.51,1
356508,SKU_1599,T-shirt,5,2020-01-04 00:00:00,61.05,55140.0,Spain,0.45,Bank Transfer,8.03,Electronics,Online,Not Returned,Royal Mail,Rome,Low,305.25,1
903591,SKU_1022,T-shirt,5,2020-01-04 01:00:00,94.77,55936.0,Portugal,0.13,Bank Transfer,19.81,Electronics,Online,Not Returned,Royal Mail,Rome,Low,473.84999999999997,1
996942,SKU_1292,White Mug,43,2020-01-04 02:00:00,15.02,34933.0,Australia,0.02,Credit Card,18.34,Furniture,Online,Not Returned,UPS,Berlin,High,645.86,1
206530,SKU_1266,Notebook,23,2020-01-04 03:00:00,24.56,14443.0,Sweden,0.32,paypall,14.23,Stationery,Online,Not Returned,Royal Mail,London,Low,564.88,1
704365,SKU_1528,Office Chair,14,2020-01-04 04:00:00,66.41,16761.0,United Kingdom,0.22,paypall,22.68,Furniture,Online,Not Returned,Royal Mail,Amsterdam,High,929.74,1
922352,SKU_1475,White Mug,49,2020-01-04 05:00:00,49.41,80434.0,United Kingdom,0.38,Bank Transfer,8.8,Stationery,In-store,Not Returned,Royal Mail,London,Low,2421.0899999999997,1
560337,SKU_1951,Blue Pen,39,2020-01-04 06:00:00,36.99,83214.0,Belgium,0.38,paypall,20.06,Accessories,In-store,Not Returned,DHL,Rome,Medium,1442.6100000000001,1
824839,SKU_1948,Blue Pen,7,2020-01-04 07:00:00,36.14,48511.0,United States,0.34,Bank Transfer,6.87,Furniture,In-store,Not Returned,UPS,Amsterdam,Medium,252.98000000000002,1
905889,SKU_1450,Backpack,35,2020-01-04 08:00:00,30.82,53228.0,Italy,0.03,Credit Card,8.87,Furniture,Online,Returned,FedEx,Paris,Low,1078.7,1
559773,SKU_1897,Wireless Mouse,38,2020-01-04 09:00:00,81.28,42562.0,Sweden,0.18,paypall,27.77,Furniture,In-store,Not Returned,DHL,Amsterdam,High,3088.64,1
308261,SKU_1284,Headphones,14,2020-01-04 10:00:00,36.13,96452.0,Italy,0.34,Credit Card,14.95,Apparel,In-store,Returned,DHL,Berlin,Low,505.82000000000005,1
864469,SKU_1312,USB Cable,17,2020-01-04 11:00:00,8.62,35193.0,Belgium,0.13,paypall,19.11,Stationery,Online,Not Returned,FedEx,Amsterdam,Low,146.54,1
441097,SKU_1161,T-shirt,7,2020-01-04 12:00:00,15.96,30966.0,United Kingdom,0.28,paypall,23.88,Electronics,Online,Not Returned,DHL,Paris,High,111.72,1
415139,SKU_1589,USB Cable,20,2020-01-04 13:00:00,49.92,62514.0,Germany,0.4,Bank Transfer,8.34,Electronics,Online,Not Returned,Royal Mail,Rome,Low,998.4000000000001,1
271829,SKU_1121,T-shirt,34,2020-01-04 14:00:00,13.63,61596.0,Norway,0.08,Bank Transfer,24.2,Stationery,Online,Not Returned,DHL,Berlin,Low,463.42,1
371836,SKU_1480,T-shirt,30,2020-01-04 15:00:00,83.42,62583.0,United Kingdom,0.45,Bank Transfer,5.92,Electronics,Online,Not Returned,UPS,Paris,Low,2502.6,1
538974,SKU_1111,Wireless Mouse,40,2020-01-04 16:00:00,91.57,82963.0,Norway,0.35,paypall,29.97,Accessories,In-store,Not Returned,FedEx,London,High,3662.7999999999997,1
302283,SKU_1238,T-shirt,13,2020-01-04 17:00:00,7.54,89681.0,Belgium,0.38,Credit Card,26.46,Stationery,In-store,Not Returned,Royal Mail,Rome,Low,98.02,1
296769,SKU_1209,White Mug,6,2020-01-04 18:00:00,87.27,79200.0,Belgium,0.08,paypall,22.59,Electronics,Online,Not Returned,DHL,Paris,Low,523.62,1
661353,SKU_1348,White Mug,27,2020-01-04 19:00:00,68.95,28796.0,United States,0.45,Bank Transfer,18.1,Stationery,Online,Not Returned,UPS,Amsterdam,Medium,1861.65,1
323165,SKU_1510,Backpack,18,2020-01-04 20:00:00,33.22,76428.0,France,0.22,Bank Transfer,24.77,Stationery,Online,Not Returned,Royal Mail,Rome,Medium,597.96,1
723587,SKU_1001,Blue Pen,24,2020-01-04 21:00:00,25.98,46156.0,Italy,0.13,Bank Transfer,16.68,Furniture,Online,Not Returned,FedEx,Amsterdam,Medium,623.52,1
635822,SKU_1891,Office Chair,32,2020-01-04 22:00:00,41.15,97271.0,United Kingdom,0.4,Credit Card,7.7,Accessories,Online,Not Returned,DHL,Berlin,High,1316.8,1
587879,SKU_1714,Wall Clock,39,2020-01-04 23:00:00,60.36,90167.0,Sweden,0.07,Bank Transfer,24.41,Apparel,In-store,Not Returned,UPS,Rome,High,2354.04,1
664685,SKU_1798,Backpack,26,2020-01-05 00:00:00,24.81,95325.0,Germany,0.4,Credit Card,26.82,Apparel,In-store,Returned,Royal Mail,Rome,Medium,645.06,1
882038,SKU_1628,White Mug,34,2020-01-05 01:00:00,88.14,41384.0,Netherlands,0.07,Bank Transfer,12.45,Furniture,Online,Not Returned,UPS,London,High,2996.76,1
453531,SKU_1880,Wall Clock,21,2020-01-05 02:00:00,3.75,84562.0,Portugal,0.02,Bank Transfer,16.33,Electronics,In-store,Not Returned,DHL,Berlin,Low,78.75,1
363160,SKU_1460,USB Cable,28,2020-01-05 03:00:00,7.96,97931.0,Portugal,0.35,Bank Transfer,6.64,Furniture,Online,Not Returned,FedEx,London,Low,222.88,1
679879,SKU_1811,Backpack,5,2020-01-05 04:00:00,48.24,14493.0,Belgium,0.18,paypall,6.68,Stationery,Online,Not Returned,DHL,Amsterdam,Medium,241.20000000000002,1
320884,SKU_1894,Office Chair,42,2020-01-05 05:00:00,34.93,71731.0,France,0.41,paypall,17.4,Accessories,Online,Not Returned,Royal Mail,London,High,1467.06,1
123247,SKU_1857,T-shirt,18,2020-01-05 06:00:00,31.83,60583.0,France,0.42,Credit Card,27.47,Apparel,Online,Returned,FedEx,Paris,High,572.9399999999999,1
124300,SKU_1951,Headphones,8,2020-01-05 07:00:00,46.19,,Norway,0.1,Bank Transfer,12.81,Stationery,In-store,Not Returned,UPS,,High,369.52,1
567281,SKU_1481,T-shirt,43,2020-01-05 08:00:00,57.77,97562.0,United States,0.1,Credit Card,11.1,Furniture,Online,Not Returned,FedEx,Amsterdam,Low,2484.11,1
707086,SKU_1949,Notebook,48,2020-01-05 09:00:00,15.68,90838.0,Portugal,0.23,Credit Card,8.83,Apparel,In-store,Not Returned,DHL,London,High,752.64,1
633556,SKU_1948,USB Cable,34,2020-01-05 10:00:00,85.06,64838.0,United Kingdom,0.01,Bank Transfer,29.98,Accessories,In-store,Not Returned,DHL,Amsterdam,Medium,2892.04,1
448951,SKU_1625,White Mug,22,2020-01-05 11:00:00,35.03,30725.0,France,0.24,Bank Transfer,8.25,Furniture,Online,Not Returned,DHL,Amsterdam,Low,770.6600000000001,1
374329,SKU_1585,Blue Pen,23,2020-01-05 12:00:00,49.73,59407.0,Italy,0.31,Credit Card,26.62,Electronics,Online,Not Returned,Royal Mail,Rome,High,1143.79,1
819064,SKU_1971,Headphones,9,2020-01-05 13:00:00,57.1,90824.0,Sweden,0.01,Bank Transfer,11.88,Accessories,Online,Not Returned,Royal Mail,Amsterdam,Low,513.9,1
842139,SKU_1240,Wireless Mouse,27,2020-01-05 14:00:00,65.17,96508.0,Norway,0.12,paypall,28.59,Apparel,In-store,Returned,UPS,Rome,High,1759.5900000000001,1
532315,SKU_1981,Backpack,14,2020-01-05 15:00:00,12.16,70672.0,Norway,0.2,Bank Transfer,12.57,Apparel,In-store,Not Returned,FedEx,Amsterdam,Medium,170.24,1
616588,SKU_1813,USB Cable,20,2020-01-05 16:00:00,84.61,19020.0,Norway,0.26,Bank Transfer,11.7,Stationery,In-store,Not Returned,FedEx,Paris,High,1692.2,1
336584,SKU_1053,Notebook,26,2020-01-05 17:00:00,7.36,90743.0,Germany,0.05,paypall,29.14,Apparel,In-store,Not Returned,UPS,London,Low,191.36,1
662332,SKU_1670,Wireless Mouse,41,2020-01-05 18:00:00,22.68,64659.0,Netherlands,0.15,Bank Transfer,20.14,Stationery,Online,Not Returned,FedEx,Berlin,Medium,929.88,1
937646,SKU_1466,Wireless Mouse,7,2020-01-05 19:00:00,10.74,90633.0,United Kingdom,0.44,Bank Transfer,17.3,Accessories,In-store,Not Returned,DHL,Rome,Low,75.18,1
476896,SKU_1108,Blue Pen,24,2020-01-05 20:00:00,76.55,54727.0,United States,0.0,paypall,8.27,Accessories,Online,Not Returned,UPS,London,Medium,1837.1999999999998,1
148984,SKU_1279,White Mug,9,2020-01-05 21:00:00,71.63,10961.0,Belgium,0.47,Bank Transfer,19.95,Apparel,In-store,Not Returned,UPS,London,High,644.67,1
402918,SKU_1664,Blue Pen,43,2020-01-05 22:00:00,30.59,66873.0,Belgium,0.2,paypall,10.32,Stationery,Online,Returned,UPS,London,High,1315.37,1
364712,SKU_1674,Office Chair,7,2020-01-05 23:00:00,78.42,25714.0,Norway,0.05,Bank Transfer,26.71,Stationery,Online,Not Returned,DHL,Rome,Low,548.94,1
220151,SKU_1056,Wireless Mouse,37,2020-01-06 00:00:00,91.0,33058.0,Italy,0.42,paypall,11.14,Apparel,In-store,Not Returned,Royal Mail,Paris,High,3367.0,1
555808,SKU_1839,Notebook,4,2020-01-06 01:00:00,19.27,83367.0,France,0.07,Credit Card,25.98,Accessories,Online,Not Returned,DHL,Amsterdam,Low,77.08,1
233767,SKU_1836,Wall Clock,11,2020-01-06 02:00:00,37.38,15608.0,Sweden,0.02,Credit Card,8.95,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low,411.18,1
748663,SKU_1213,Headphones,4,2020-01-06 03:00:00,53.39,49169.0,Netherlands,0.5,Bank Transfer,8.56,Furniture,Online,Not Returned,FedEx,Berlin,Medium,213.56,1
803550,SKU_1507,White Mug,28,2020-01-06 04:00:00,31.18,70906.0,Spain,0.38,Bank Transfer,6.1,Stationery,In-store,Not Returned,Royal Mail,Berlin,High,873.04,1
236330,SKU_1027,Backpack,49,2020-01-06 05:00:00,66.8,39946.0,Netherlands,0.36,Bank Transfer,11.84,Stationery,Online,Not Returned,FedEx,Rome,High,3273.2,1
580754,SKU_1203,Wall Clock,27,2020-01-06 06:00:00,83.54,67934.0,Netherlands,0.33,Credit Card,9.51,Stationery,In-store,Not Returned,DHL,London,Medium,2255.5800000000004,1
401648,SKU_1544,Headphones,17,2020-01-06 07:00:00,73.34,30303.0,Norway,0.23,paypall,9.78,Furniture,In-store,Not Returned,Royal Mail,London,Medium,1246.78,1
788519,SKU_1308,Notebook,40,2020-01-06 08:00:00,94.43,62272.0,United States,0.29,paypall,10.59,Apparel,In-store,Not Returned,Royal Mail,Rome,Low,3777.2000000000003,1
113986,SKU_1633,T-shirt,6,2020-01-06 09:00:00,39.39,43069.0,United Kingdom,0.29,Bank Transfer,9.85,Electronics,In-store,Not Returned,DHL,Rome,Medium,236.34,1
686146,SKU_1527,USB Cable,17,2020-01-06 10:00:00,19.05,25812.0,France,0.02,Bank Transfer,11.25,Accessories,In-store,Not Returned,Royal Mail,Rome,Low,323.85,1
229312,SKU_1665,Headphones,43,2020-01-06 11:00:00,87.12,78376.0,Germany,0.45,Bank Transfer,18.17,Electronics,In-store,Not Returned,UPS,London,Low,3746.1600000000003,1
112666,SKU_1907,T-shirt,12,2020-01-06 12:00:00,98.82,63965.0,Germany,0.25,paypall,5.34,Apparel,In-store,Not Returned,FedEx,Rome,High,1185.84,1
400804,SKU_1342,Desk Lamp,40,2020-01-06 13:00:00,45.27,58575.0,France,0.08,paypall,21.25,Apparel,In-store,Not Returned,UPS,Berlin,Low,1810.8000000000002,1
234633,SKU_1217,White Mug,1,2020-01-06 14:00:00,19.89,55924.0,Australia,0.28,Bank Transfer,13.87,Stationery,Online,Not Returned,FedEx,Paris,High,19.89,1
388998,SKU_1616,Desk Lamp,29,2020-01-06 15:00:00,29.51,52354.0,Australia,0.43,paypall,19.15,Accessories,In-store,Not Returned,UPS,Berlin,Medium,855.7900000000001,1
950937,SKU_1588,Wall Clock,26,2020-01-06 16:00:00,44.69,78432.0,France,0.46,Bank Transfer,21.57,Electronics,In-store,Not Returned,Royal Mail,London,Low,1161.94,1
728776,SKU_1086,Wall Clock,8,2020-01-06 17:00:00,14.92,75894.0,France,0.16,Bank Transfer,14.11,Accessories,Online,Not Returned,DHL,Rome,Medium,119.36,1
807611,SKU_1030,T-shirt,30,2020-01-06 18:00:00,39.72,18762.0,Portugal,0.08,paypall,14.4,Stationery,Online,Not Returned,FedEx,Paris,High,1191.6,1
384806,SKU_1099,Notebook,30,2020-01-06 19:00:00,69.96,15347.0,France,0.27,paypall,18.7,Stationery,Online,Not Returned,DHL,Amsterdam,High,2098.7999999999997,1
894824,SKU_1666,Office Chair,4,2020-01-06 20:00:00,52.48,60989.0,Spain,0.37,paypall,29.12,Apparel,In-store,Not Returned,DHL,London,High,209.92,1
130535,SKU_1803,White Mug,24,2020-01-06 21:00:00,78.64,53955.0,Australia,0.06,paypall,8.97,Stationery,In-store,Not Returned,UPS,Rome,High,1887.3600000000001,1
475713,SKU_1314,Wall Clock,26,2020-01-06 22:00:00,11.49,83421.0,France,0.21,Credit Card,18.94,Apparel,Online,Not Returned,DHL,Paris,Medium,298.74,1
938688,SKU_1494,Desk Lamp,8,2020-01-06 23:00:00,84.06,62215.0,Sweden,0.25,Credit Card,13.35,Stationery,Online,Not Returned,UPS,Paris,Medium,672.48,1
451279,SKU_1617,Wall Clock,-2,2020-01-07 00:00:00,34.06,,Spain,0.34,Credit Card,,Furniture,Online,Not Returned,DHL,,Medium,-68.12,1
921654,SKU_1470,Blue Pen,18,2020-01-07 01:00:00,36.0,24841.0,Netherlands,0.16,Credit Card,17.99,Accessories,In-store,Not Returned,FedEx,Rome,High,648.0,1
701661,SKU_1741,Desk Lamp,34,2020-01-07 02:00:00,59.68,25661.0,Norway,0.34,Credit Card,15.93,Stationery,Online,Not Returned,DHL,London,Medium,2029.12,1
747972,SKU_1514,Desk Lamp,-26,2020-01-07 03:00:00,-72.33,,Netherlands,1.97208653797146,paypall,,Electronics,In-store,Not Returned,Royal Mail,,Low,1880.58,1
